Topic,Count,Name,Representation,Representative_Docs
0,430,0_hero_care_lives_guy,"['hero', 'care', 'lives', 'guy', 'man', 'stop', 'much', 'die', 'hope', 'deny']","['Brian Thompson killed more people than his killer so….', 'who cares man, brian thompson was responsible for so many deaths, denied so many people coverage, and used an ai with a 90% error rate to automatically deny people. i hope the assassin gets away with it', ""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\n\nSome of us have empathy for people beyond our own families.""]"
1,424,1_hero_billionaire_much_right,"['hero', 'billionaire', 'much', 'right', 'fucking', 'lot', 'guy', 'saying', 'enough', 'ever']","['When these tech bros and tech right people start apologising and make reconciliation for everything they have done towards MAGA and others like banning, destroying lives etc then we can properly talk. They can freely go to the left with AOC and murdering CEOs like Luigi did', 'Shooting people in the back who oppose the left is a good thing that we support that is why Luigi is a hero', 'Rich folks still think they gonna make us be mad at Luigi']"
2,411,2_right_guy_fucking_god,"['right', 'guy', 'fucking', 'god', 'let', 'omg', 'lets', 'community', 'good', 'ok']","['We need more Luigi’s!!', 'We need more Luigi’s.', 'We need more Luigi 🔫']"
3,410,3_luigimangione_mario_john_hero,"['luigimangione', 'mario', 'john', 'hero', 'italian', 'god', 'man', 'guy', 'brother', 'chill']","['Official Free luigi Mangione Deny, Defend, Depose Sticker - Deny Defend Depose', 'Official Deny Defend Depose – Free luigi Mug - Deny Defend Depose', 'Ceo Killer ,Deny Defend Depose T-Shirt - Official Free Luigi']"
4,388,4_shooter_killed_murderer_fucking,"['shooter', 'killed', 'murderer', 'fucking', 'case', 'killer', 'gun', 'right', 'assassin', 'die']","['We live in America. Innocent until proven guilty. You can’t just believe everything the media/police tell you. As of this moment, Luigi is an innocent man.', 'Because it is. Luigi is the fall guy. Pretty sure they found a guy who looks like the shooter and are gonna hold him until they get the real guy.\n\nNow of course, will the publicly say the got the wrong guy when they catch the real one? We shall never know.', 'AND LIKE LUIGI I AM INNOCENT']"
5,384,5_luigimangione_kimmel_man_italian,"['luigimangione', 'kimmel', 'man', 'italian', 'gofundme', 'guy', 'right', 'last', 'gets', 'fans']","['NOW: Supporters of Luigi Mangione stand outside of Blair County Courthouse where the CEO Shooter is about to have his extradition hearing', 'Supporters of Luigi Mangione stand outside of Blair County Courthouse where the CEO Shooter is about to have his extradition hearing\n\n#FreeLuigi', 'Luigi Mangione supporters line up outside courthouse to back suspected C...  via']"
6,334,6_saint_italian_hero_already,"['saint', 'italian', 'hero', 'already', 'want', 'else', 'guy', 'going', 'man', 'put']","['Luigi was the fall guy. We all know who is really responsible.', 'I really don’t think Luigi is the guy. Not even a bit just doesn’t look like the same dude. Sounds like a setup', 'Why isn’t she a hero like Luigi?']"
7,323,7_mayor_case_man_news,"['mayor', 'case', 'man', 'news', 'right', 'instead', 'trump', 'penny', 'way', 'says']","['That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives. You’re a joke mayor.', ""Daniel Penny killed a man and walked free. \n\nLuigi Mangione is suspected of killing a man, who has indirectly killed millions of people, and will probably get the death penalty. \n\nThat is how America's Justice System works."", 'I don’t understand people. Daniel Penny is crucified for defending people from a crazy man threatening to kill someone so he could go to jail. Luigi Manawhatever his name is, is a hero and hot for (allegedly) shooting a man in the back??!!! What is wrong with people?']"
8,288,8_guy_hes_man_said,"['guy', 'hes', 'man', 'said', 'hero', 'blah', 'dude', 'cuz', 'character', 'fr']","['I love Luigi!', 'that luigi guy is hot there i said it', 'I like Luigi.']"
9,288,9_mario_snitched_face_omg,"['mario', 'snitched', 'face', 'omg', 'guy', 'right', 'care', 'lol', 'taylor', 'job']","['They should let Luigi get this guy too', 'Just talking with customers, I was surprised to see how many older people might not directly say ""Luigi did nothing wrong"" but at least agree with the sentiment. \n\nAt least one gave a ""I would have done it myself"" vibe, and she was 70+. Amazing how unifying that act was.', 'Luigi got the wrong guy']"
