Topic,Count,Name,Representation,Representative_Docs
0,281,0_hero_responsible_murderer_killer,"['hero', 'responsible', 'murderer', 'killer', 'policies', 'killed', 'died', 'osama', 'protect', 'man']","[""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\n\nSome of us have empathy for people beyond our own families."", 'Yes, Brian Thompson was a human being with a family.\n\nHe was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year.\n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔', 'Yes, Brian Thompson was a human being with a family. He was also a healthcare CEO who was responsible for more deaths than Al Qaeda... every year. \n\nThose people were human beings with families. \n\nDoes that make Brian Thompson despicable? 🤔']"
1,246,1_care_die_poor_much,"['care', 'die', 'poor', 'much', 'better', 'needed', 'let', 'keep', 'also', 'still']","['Since the shooting of UnitedHealthcare’s CEO, a number of pundits have claimed that the main cause of exorbitant US health care costs is overcharging by providers, not health insurance companies. The argument doesn’t hold up: insurers are mostly to blame.', '“Since the shooting of UnitedHealthcare’s CEO, a # of pundits have claimed that the main cause of exorbitant US health care costs is overcharging by providers, not health insurance companies. The argument doesn’t hold up: insurers are mostly to blame.”', 'The Affordable Care Act made things better for health care in America, but it was not a perfect solution. We have so much more to do, to hold greedy insurance companies accountable for providing our care. But it can be done! \n#healthinsurance #UnitedHealthcare #LuigiMangione']"
2,238,2_mangioni_healthcare_ceos_health,"['mangioni', 'healthcare', 'ceos', 'health', 'care', 'corporations', 'allegedly', 'rich', 'italian', 'insurance']","['Update: Luigi Mangione\'s manifesto included the quotes: \n“These parasites had it coming” and “I do apologize for any strife and trauma, but it had to be done""\n--Said shooter acted alone\n--""The document railed against the health care industry and suggested violence is the answer""', 'The Mangione Manifesto: Parasites had it coming', '3. Luigi Mangione\'s manifesto included the quotes: \n“These parasites had it coming” and “I do apologize for any strife and trauma, but it had to be done""\n--Said shooter acted alone\n--""The document railed against the health care industry and suggested violence is the answer""']"
3,224,3_insider_executives_uhc_executive,"['insider', 'executives', 'uhc', 'executive', 'shooter', 'unitedhealth', 'last', 'killed', 'monopoly', 'also']","['ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially #UnitedHealthcare.', 'Brian Thompson killer had the words “deny,” “defend” “depose” on the shell casings that were left behind?\n\nObvious link to the 2010 book: Delay, Deny, Defend.\nWhy insurance companies don’t pay claims and what you can do about it.\n\nSo this must be vigilante justice. They refused…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']"
4,222,4_mario_get_said_didnt,"['mario', 'get', 'said', 'didnt', 'guy', 'right', 'hero', 'face', 'named', 'man']","[""Where's a Luigi when you need one."", 'They should let Luigi get this guy too', 'if i see that luigi dude one more time']"
5,210,5_greed_billionaires_poor_ceos,"['greed', 'billionaires', 'poor', 'ceos', 'hero', 'corrupt', 'rich', 'millions', 'corporations', 'wealth']","[""Is there is a GoFundMe for Luigi's legal fees.Luigi deserves a fair trial with the best lawyers that money can afford. \n\nBrian Thompson was going to hire good lawyers with his $10.2M salary to defend him for his $15Million corruption case. Just how many people did Brian screw up?"", ""Please let us know if there is a GoFundMe for Luigi's legal fees. \nLuigi deserves a fair trial with the best lawyers that money can afford. \n\nBrian Thompson was going to hire good lawyers to defend him from the $15Million Antitrust case. Just how many people did Brian screw up?"", ""Please let us know if there is a GoFundMe for Luigi's legal fees. \nLuigi deserves a fair trial with the best lawyers that money can afford. \n\nBrian Thompson was going to hire good lawyers to defend him from the $15Million corruption case. Just how many people did Brian screw up?""]"
6,198,6_luigimangione_brianthompson_unitedhealthcareceo_case,"['luigimangione', 'brianthompson', 'unitedhealthcareceo', 'case', 'company', 'hero', 'care', 'blah', 'unitedhealth', 'unitedhealthcareassassin']","['Health insurance companies shouldn’t get to play with people’s lives the way they do. Free Luigi Mangione!!!', ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUT…"", '""US #1 most expensive healthcare system in 🌎. \nYet we rank roughly #42 in life expectancy.""\n\n- Luigi Mangione\n\nHEalth Is Wealth?? \nNOT IN US. \nAsk Y. \n\n#MAHA']"
7,187,7_mangiones_phillips_villain_hero,"['mangiones', 'phillips', 'villain', 'hero', 'motherfucker', 'lives', 'italian', 'man', 'corporate', 'story']","['That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives. You’re a joke mayor.', 'That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives', 'That was one big performance by the NYPD and it backfired spectacularly. Their goal was to make Luigi Mangione look like a Batman villain. Instead it made him look like a folk hero who fought back against the system that puts profits over our own lives.']"
8,184,8_ceos_god_executives_said,"['ceos', 'god', 'executives', 'said', 'healthcare', 'care', 'insider', 'ai', 'medical', 'investigation']","['United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)!', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference.\nQ3815\n""What happens when people learn the TRUTH?\nWhat…', 'United Healthcare CEO Brian Thompson and other executives were caught with insider trading, sold $117M of their stock during the federal probe (and investors were not notified)! Thompson gets shot at investor conference. \n\nQ3815\n""What happens when people learn the TRUTH?…']"
9,183,9_healthcare_ceos_patients_executives,"['healthcare', 'ceos', 'patients', 'executives', 'health', 'corporations', 'news', 'killer', 'company', 'care']","['🚨BREAKING: Taylor Lorenz says she felt “joy” over the UnitedHealthcare CEO getting shot.', ""Taylor Lorenz slams health insurance industry, says it's no 'wonder why we want these executives dead' after UnitedHealthcare CEO murder"", 'Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder']"
