Topic,Count,Name,Representation,Representative_Docs
0,230,0_assassin_murderer_killer_gunman,"['assassin', 'murderer', 'killer', 'gunman', 'suspect', 'guy', 'killed', 'man', 'way', 'shooter']","['‼️Far Left defends UnitedHealthcare CEO’s killer while attacking Daniel Penny.\n\n“And people wonder why we want these executives dead,” wrote former Washington Post reporter Taylor Lorenz.\n\nThe world is upside down. \nRead more here👇', ""Words found on shell casings where UnitedHealthcare CEO was shot dead, senior law enforcement official says  \n\nI don't care what you think of United HealthCare, but what a stunning and sickening act of violence against Brian Thompson, the CEO of UHC. Even…"", 'Taylor Lorenz defends United Healthcare CEO Brian Thompson’s murder in sickening post: ‘People wonder why we want these executives dead’']"
1,219,1_luigimangione_mario_pizza_fucking,"['luigimangione', 'mario', 'pizza', 'fucking', 'bryan', 'said', 'simp', 'crazy', 'right', 'really']","[""The Luigi guy looks unbathed and I feel like I can smell him through the phone. Looks like he hasn't washed his hair in weeks."", 'Fuck Luigi im standing ten toes on this shit and ain’t a damn thing you gonna say to change my mind in the comments stay mad nigga', 'That last one you should fuck off with. You are probably a supporter of Luigi with that shit. Trash thought and not a great ""critical thinker"", but more like, a piece of shit.']"
2,216,2_killer_murderer_shooter_murders,"['killer', 'murderer', 'shooter', 'murders', 'murderers', 'criminals', 'allegedly', 'killed', 'justice', 'kill']","['Luigi shot someone in the back… what are you talking about!', 'I just want to know did Luigi try peaceful justice before he cowardly shot a man in the back? He seems to be a man of many words, did he use his words before he used a gun?', 'no luigi murdered some one in cold blood by shooting him in the back like a coward.']"
3,189,3_mangioni_case_killer_deranged,"['mangioni', 'case', 'killer', 'deranged', 'next', 'must', 'guy', 'best', 'hope', 'probably']","[""Luigi Mangione is NOT a hero, he's a cold blooded killer and a fucking coward, he shot a man 3 times in the back then ran away like a pussy, he couldn't be man enough to own what he did. When he is found guilty and sent to prison Big Bubba is going to make him his bitch."", ""One problem is branding with Justice for Luigi Mangione. The token is named $HERO. He's not a hero and is in fact a killer first. Some people may feel more connected with the Free Luigi Mangione coin $FREE. That resonates better with people. I think it's one too many of his…"", 'Luigi Mangione is no more of a “hero” then this guy.']"
4,180,4_monster_get_man_hero,"['monster', 'get', 'man', 'hero', 'go', 'god', 'cold', 'killer', 'happened', 'ever']","['I don’t understand why people are celebrating Brian Thompson being killed because at the end of the day, he’s dead. His kids don’t have any father. That 26-year-old Luigi Mangione is going to jail for the rest of his life, and the healthcare system is still the same today — the…', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?', ""Everyone who works for the same company, deserves to be murdered in cold blood too. Right?\nTell his wife and kids that they deserved this.\nAnd you can't name even one person that Brian Thompson himself killed or directed to die.""]"
5,177,5_psyop_mentally_nick_man,"['psyop', 'mentally', 'nick', 'man', 'life', 'hero', 'guy', 'fucking', 'caught', 'fuck']","['Luigi is also a ""rich fuck"". Literally a spoiled rich kid from a family worth millions lol', 'I agree with Nick. Luigi is either mentally ill and narcissistic to think that he, as one man, could start a revolution, or he is a complete psyop. 🤷🏻\u200d♀️\n\nIf the People want any type of revolution, they need to band together and decide that. One man taking that upon himself is…', 'Oh, yes, let’s absolutely keep that class connection with Luigi—because nothing says working-class hero like being a filthy rich white guy whose family got wealthy off exploiting the elderly in the healthcare system. Solidarity, am I right? 🙄']"
6,164,6_luigimangione_suspect_accused_alleged,"['luigimangione', 'suspect', 'accused', 'alleged', 'assassin', 'shooter', 'suspected', 'case', 'murderer', 'allegedly']","['Trump eviscerates those who are idolizing UnitedHealth CEO assassin Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""', 'Trump SLAMS those idolizing UnitedHealth CEO assassin Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""', 'Donald Trump on the United Healthcare CEO sho*ter Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""']"
7,163,7_luigimangione_alvin_italian_think,"['luigimangione', 'alvin', 'italian', 'think', 'murderer', 'smart', 'killer', 'guy', 'killed', 'healthcare']","[""Luigi Mangione being charged with Terrorism by NY DA Alvin Bragg. To make things worse for Luigi the Feds are charging him as well and will be seeking the death penalty since New York can't. They are not just throwing the book at him they are throwing the entire library."", 'I want Luigi Mangione to get the death penalty', 'Luigi Mangione should get the death penalty.']"
8,135,8_murderer_next_guy_motherfuckers,"['murderer', 'next', 'guy', 'motherfuckers', 'maybe', 'gets', 'still', 'gofundme', 'get', 'dick']","['Luigi is either gonna get raped in prison for life or get the death penalty', 'Luigi’s going to prison and there’s nothing you can do', 'They are going to love Luigi in prison.']"
9,131,9_luigimangione_murdering_rich_alleged,"['luigimangione', 'murdering', 'rich', 'alleged', 'trump', 'family', 'brother', 'hero', 'definitely', 'usual']","['#LuigiMangione Luigi Mangione Crime Timeline Report: \nInsult to the Intelligence of the American People! : Luigi Mangione Melts Down Outside Court, Shouts at Guards and Onlookers', ""Sounds like a spoiled, well educated rich kid in his 20's gone bad.\n\nMr Mangione comes from a prominent family in the Baltimore area whose businesses include a country club and nursing homes, according to local media."", 'Meet the murderer of the united healthcare dude\n\nLuigi Mangione, is an anti-capitalist climate change activist and former Ivy League student who idolized UNABOMBER Ted Kaczynski, per New York Post.\n\nTypical deranged leftist envirozealot.']"
10,120,10_hero_revolutionary_lawyer_sympathy,"['hero', 'revolutionary', 'lawyer', 'sympathy', 'ed', 'better', 'gun', 'robin', 'coward', 'fired']","[""But don;t make Mangione a 'hero' for killing someone🙄"", 'So Mangione was a rich Anti-Capitalist also a lonely incel that shot someone in the back like a coward, got it.', ""What doesn't make sense is the alleged wealth of Mangione's family.\nWould think he would have access to whatever money he would need to treat his back. So some back pain is all it took to turn a rich kid with 2 comp sci degrees into a murderer?\nSeems mentally weak or disturbed.""]"
